ts_epoch,vmrss_kb,vmhwm_kb,threads,fds,vm_size_kb,mmc_writes_completed,mmc_sectors_written,mmc_ms_writing,loop_writes_completed,loop_sectors_written,loop_ms_writing
1789769573,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769574,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769575,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769576,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769577,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769578,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769579,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769580,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769581,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769582,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769583,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769584,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769585,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769586,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769587,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769588,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769589,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769590,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769591,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769592,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769593,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769594,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769595,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769596,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769597,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769598,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769599,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769600,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769601,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769602,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769603,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769604,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769605,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769607,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769608,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769609,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769610,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769611,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769612,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769613,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769614,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769615,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769616,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769617,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769618,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769619,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769620,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769621,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769622,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769623,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769624,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769625,26848,27780,9,10,1275064,7762,16054360,42472,6297,501776,15821
1789769626,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769627,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
1789769628,26848,27780,9,11,1275064,7762,16054360,42472,6297,501776,15821
