cycle,ts_epoch,latency_ms,amount_sats,store_bytes,store_sha12,mmc_wc_delta,mmc_bytes_written,mmc_ms_writing_delta,loop_wc_delta,loop_bytes_written,cpu_ticks_delta,cpu_ms,cli_json
1,1789777261,935,na,262144,29dd7626be4d,10,28672,4,10,28672,7,70,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not swap proofs: Duplicate outputs\",  \"timestamp\": \"2026-09-19T00:21:00.670456949Z\"}"
2,1789777279,944,na,262144,b3612233b205,10,28672,3,10,28672,6,60,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not swap proofs: Duplicate outputs\",  \"timestamp\": \"2026-09-19T00:21:18.640080676Z\"}"
3,1789777297,803,na,262144,b9bfcb3addaa,10,28672,4,10,28672,7,70,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not swap proofs: Duplicate outputs\",  \"timestamp\": \"2026-09-19T00:21:36.141383379Z\"}"
4,1789777315,773,na,262144,0dd6e9efd00c,10,28672,3,10,28672,7,70,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not swap proofs: Duplicate outputs\",  \"timestamp\": \"2026-09-19T00:21:54.631735046Z\"}"
5,1789777329,810,na,262144,c97dc282039f,10,28672,4,10,28672,8,80,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not swap proofs: Duplicate outputs\",  \"timestamp\": \"2026-09-19T00:22:08.272171032Z\"}"
6,1789777345,770,na,262144,8e2624ac1e73,10,28672,3,10,28672,6,60,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not swap proofs: Duplicate outputs\",  \"timestamp\": \"2026-09-19T00:22:24.29909159Z\"}"
7,1789777360,780,na,262144,20c1abbf87d7,10,28672,4,10,28672,6,60,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not swap proofs: Duplicate outputs\",  \"timestamp\": \"2026-09-19T00:22:39.67319416Z\"}"
8,1789777377,850,20,262144,022f32c5bbad,17,53248,6,17,53248,10,101,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:22:56.374823042Z\"}"
9,1789777392,857,20,262144,97537c67e032,17,57344,7,17,57344,7,70,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:23:11.539800311Z\"}"
10,1789777408,802,20,262144,ecec0e2f0565,18,57344,7,18,57344,7,70,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:23:27.381202334Z\"}"
11,1789777424,747,20,262144,01140ad71664,16,53248,6,16,53248,6,60,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:23:43.377713036Z\"}"
12,1789777436,681,20,262144,2449b2c4d8b9,15,53248,5,15,53248,6,60,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:23:55.962262194Z\"}"
13,1789777447,740,20,262144,41deeb393f15,17,53248,7,17,53248,7,70,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:24:07.208396577Z\"}"
14,1789777459,700,20,262144,b34c33ba7ec1,17,57344,6,17,57344,7,70,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:24:18.628595461Z\"}"
15,1789777471,707,20,262144,aa3128180f31,18,53248,7,18,53248,7,70,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:24:30.418259173Z\"}"
16,1789777482,755,20,262144,b5698c5c8dc7,17,53248,6,17,53248,6,60,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:24:41.76448691Z\"}"
17,1789777495,1174,20,262144,a379d93094be,17,53248,7,17,53248,6,60,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:24:55.223719822Z\"}"
18,1789777508,765,20,262144,899ebc82608e,19,57344,8,19,57344,7,70,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:25:07.453538672Z\"}"
19,1789777520,638,20,262144,024dc6051aca,18,49152,7,18,49152,6,60,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:25:20.338056468Z\"}"
20,1789777533,737,20,262144,f6c68ba5d118,16,53248,6,16,53248,7,70,"{  \"success\": true,  \"message\": \"Successfully funded wallet with 20 sats\",  \"data\": {    \"amount_received\": 20  },  \"timestamp\": \"2026-09-19T00:25:32.63950962Z\"}"
