ts_epoch,vmrss_kb,vmhwm_kb,threads,fds,vm_size_kb,mmc_writes_completed,mmc_sectors_written,mmc_ms_writing,loop_writes_completed,loop_sectors_written,loop_ms_writing
1789770264,24332,24332,8,11,1274412,7996,16056432,42573,6528,503840,15920
1789770265,24332,24332,8,11,1274412,7996,16056432,42573,6528,503840,15920
1789770266,24340,24340,8,10,1274412,7996,16056432,42573,6528,503840,15920
1789770267,14932,14932,8,6,1272788,7996,16056432,42573,6528,503840,15920
1789770268,17460,17460,8,6,1273884,7996,16056432,42573,6528,503840,15920
1789770269,17888,17888,8,6,1273884,7996,16056432,42573,6528,503840,15920
1789770270,18572,18572,8,6,1273892,7996,16056432,42573,6528,503840,15920
1789770271,22400,22400,8,7,1274148,8011,16056544,42579,6543,503952,15927
1789770272,23116,23116,8,7,1274148,8035,16056768,42589,6567,504176,15937
1789770273,23172,23172,8,7,1274148,8041,16056816,42592,6573,504224,15940
1789770274,23408,23408,8,7,1274148,8058,16056960,42599,6590,504368,15946
1789770275,23448,23448,8,7,1274148,8058,16056960,42599,6590,504368,15946
1789770276,23508,23508,8,7,1274148,8087,16057208,42610,6619,504616,15957
1789770277,23856,23856,8,7,1274148,8087,16057208,42610,6619,504616,15957
1789770278,24076,24076,8,7,1274148,8106,16057344,42617,6638,504752,15964
1789770279,24084,24084,8,7,1274148,8120,16057440,42622,6652,504848,15969
1789770280,24528,24528,8,10,1274148,8134,16057520,42627,6666,504928,15974
1789770282,24548,24548,8,10,1274148,8134,16057520,42627,6666,504928,15974
1789770283,24676,24676,8,10,1274404,8134,16057520,42627,6666,504928,15974
1789770284,24676,24676,8,10,1274404,8134,16057520,42627,6666,504928,15974
1789770285,24676,24676,8,10,1274404,8134,16057520,42627,6666,504928,15974
1789770286,24676,24676,8,10,1274404,8134,16057520,42627,6666,504928,15974
1789770287,24680,24680,8,11,1274404,8134,16057520,42627,6666,504928,15974
1789770288,24680,24680,8,11,1274404,8134,16057520,42627,6666,504928,15974
1789770289,24680,24680,8,11,1274404,8134,16057520,42627,6666,504928,15974
1789770290,24680,24680,8,10,1274404,8134,16057520,42627,6666,504928,15974
1789770291,24680,24680,8,10,1274404,8134,16057520,42627,6666,504928,15974
1789770292,24728,24728,8,13,1274404,8144,16057576,42631,6676,504984,15977
1789770293,24736,24736,8,11,1274404,8152,16057624,42634,6684,505032,15980
1789770294,24736,24736,8,11,1274404,8158,16057688,42637,6689,505104,15983
1789770295,24736,24736,8,10,1274404,8158,16057688,42637,6689,505104,15983
1789770296,24736,24736,8,10,1274404,8158,16057688,42637,6689,505104,15983
1789770297,24736,24736,8,11,1274404,8158,16057688,42637,6689,505104,15983
1789770298,24736,24736,8,11,1274404,8158,16057688,42637,6689,505104,15983
1789770299,24736,24736,8,11,1274404,8158,16057688,42637,6690,505112,15983
1789770300,24740,24740,8,10,1274404,8158,16057688,42637,6690,505112,15983
1789770301,24740,24740,8,10,1274404,8159,16057704,42637,6690,505112,15983
1789770302,24740,24740,8,12,1274404,8159,16057704,42637,6690,505112,15983
1789770303,24740,24740,8,10,1274404,8174,16057816,42643,6705,505224,15989
1789770304,24740,24740,8,10,1274404,8174,16057816,42643,6705,505224,15989
1789770305,24740,24740,8,10,1274404,8174,16057816,42643,6705,505224,15989
1789770306,24740,24740,8,10,1274404,8174,16057816,42643,6705,505224,15989
1789770307,24740,24740,8,10,1274404,8174,16057816,42643,6705,505224,15989
1789770308,24740,24740,8,10,1274404,8174,16057816,42643,6705,505224,15989
1789770309,24740,24740,8,10,1274404,8174,16057816,42643,6705,505224,15989
1789770310,24772,24772,8,10,1274404,8174,16057816,42643,6705,505224,15989
1789770311,24772,24772,8,10,1274404,8174,16057816,42643,6705,505224,15989
1789770312,24776,24776,8,10,1274404,8174,16057816,42643,6705,505224,15989
1789770313,24804,24804,8,10,1274660,8191,16057920,42650,6722,505328,15995
1789770314,24844,24844,8,11,1274660,8191,16057920,42650,6722,505328,15995
1789770315,24844,24844,8,11,1274660,8191,16057920,42650,6722,505328,15995
1789770316,24844,24844,8,11,1274660,8191,16057920,42650,6722,505328,15995
1789770317,24844,24844,8,10,1274660,8191,16057920,42650,6722,505328,15995
