ts_epoch,vmrss_kb,vmhwm_kb,threads,fds,vm_size_kb,utime_ticks,stime_ticks,mmc_writes_completed,mmc_sectors_written,mmc_ms_writing,loop_writes_completed,loop_sectors_written,loop_ms_writing
1789777204,26812,27740,9,10,1274808,780,384,10004,16070832,43388,8501,518032,16660
1789777205,26812,27740,9,10,1274808,780,384,10004,16070832,43388,8501,518032,16660
1789777206,26812,27740,9,10,1274808,780,384,10004,16070832,43388,8501,518032,16660
1789777207,26812,27740,9,10,1274808,780,384,10004,16070832,43388,8501,518032,16660
1789777208,26812,27740,9,10,1274808,780,384,10013,16070912,43399,8506,518096,16671
1789777209,26812,27740,9,10,1274808,780,384,10013,16070912,43399,8506,518096,16671
1789777210,26812,27740,9,10,1274808,780,384,10013,16070912,43399,8506,518096,16671
1789777211,26812,27740,9,10,1274808,780,384,10013,16070912,43399,8506,518096,16671
1789777212,26812,27740,9,10,1274808,780,384,10013,16070912,43399,8506,518096,16671
1789777213,26812,27740,9,10,1274808,780,384,10013,16070912,43399,8506,518096,16671
1789777214,26812,27740,9,10,1274808,780,384,10013,16070912,43399,8506,518096,16671
1789777215,26812,27740,9,10,1274808,780,384,10013,16070912,43399,8506,518096,16671
1789777216,26812,27740,9,10,1274808,780,385,10013,16070912,43399,8506,518096,16671
1789777217,26812,27740,9,10,1274808,780,385,10013,16070912,43399,8506,518096,16671
1789777218,26812,27740,9,10,1274808,781,385,10013,16070912,43399,8506,518096,16671
1789777219,26812,27740,9,10,1274808,781,385,10013,16070912,43399,8506,518096,16671
1789777220,26812,27740,9,11,1274808,781,386,10013,16070912,43399,8506,518096,16671
1789777221,26812,27740,9,11,1274808,781,386,10013,16070912,43399,8506,518096,16671
1789777222,26812,27740,9,11,1274808,781,386,10013,16070912,43399,8506,518096,16671
1789777223,26812,27740,9,10,1274808,781,386,10013,16070912,43399,8506,518096,16671
1789777224,26812,27740,9,10,1274808,781,386,10013,16070912,43399,8506,518096,16671
1789777225,26812,27740,9,11,1274808,781,386,10013,16070912,43399,8506,518096,16671
1789777226,26812,27740,9,11,1274808,781,386,10013,16070912,43399,8506,518096,16671
1789777227,26812,27740,9,11,1274808,781,386,10013,16070912,43399,8506,518096,16671
1789777228,26812,27740,9,10,1274808,781,386,10013,16070912,43399,8506,518096,16671
1789777229,26812,27740,9,10,1274808,781,386,10013,16070912,43399,8506,518096,16671
